sensor_id,metric_1,metric_2,ts
sensor_hv_001,22.557707,31.00043,2024-05-08T07:00:00
sensor_hv_001,20.558152,34.099807,2024-12-18T02:00:00
sensor_hv_001,22.36197,31.271307,2024-02-07T07:00:00
sensor_hv_001,22.021421,31.061439,2024-04-23T20:00:00
sensor_hv_001,22.8053,46.780793,2024-08-19T08:00:00
sensor_hv_001,23.237722,30.25995,2024-03-23T13:00:00
sensor_hv_001,21.361002,36.21918,2024-06-04T02:00:00
sensor_hv_001,21.519709,44.359175,2024-06-20T08:00:00
sensor_hv_001,23.228513,59.189271,2024-09-04T12:00:00
sensor_hv_001,20.315201,41.727131,2024-11-20T11:00:00
sensor_hv_001,22.309409,58.182873,2024-01-22T07:00:00
sensor_hv_001,23.092273,69.408861,2024-04-28T03:00:00
sensor_hv_001,21.520505,48.136412,2024-06-06T11:00:00
sensor_hv_001,21.421083,56.807007,2024-12-22T20:00:00
sensor_hv_001,20.28561,55.399132,2024-09-24T07:00:00
sensor_hv_001,20.65361,45.178218,2024-11-23T17:00:00
sensor_hv_001,20.878461,42.971309,2024-01-08T01:00:00
sensor_hv_001,23.220183,46.046591,2024-02-07T18:00:00
sensor_hv_001,23.505471,42.587115,2024-11-16T12:00:00
sensor_hv_001,23.538733,55.714075,2024-03-09T04:00:00
sensor_hv_001,20.98651,52.454725,2024-05-24T18:00:00
sensor_hv_001,21.713735,53.341317,2024-06-08T04:00:00
sensor_hv_001,22.038105,33.636376,2024-01-28T03:00:00
sensor_hv_001,20.611365,36.39928,2024-11-14T19:00:00
sensor_hv_001,20.254111,45.264771,2024-08-17T08:00:00
sensor_hv_001,23.884314,64.431188,2024-01-22T23:00:00
sensor_hv_001,20.458207,65.391538,2024-05-25T20:00:00
sensor_hv_001,21.360702,41.740005,2024-03-15T00:00:00
sensor_hv_001,23.815264,65.034118,2024-05-17T05:00:00
sensor_hv_001,22.030727,34.256433,2024-11-10T20:00:00
sensor_hv_001,22.030652,37.956444,2024-06-25T05:00:00
sensor_hv_001,22.157516,61.145059,2024-09-01T19:00:00
sensor_hv_001,21.296624,30.77907,2024-06-27T09:00:00
sensor_hv_001,20.957809,39.634864,2024-10-03T02:00:00
sensor_hv_001,22.92763,62.64093,2024-09-25T04:00:00
sensor_hv_001,20.513566,49.011295,2024-09-06T08:00:00
sensor_hv_001,22.110695,54.263757,2024-04-18T23:00:00
sensor_hv_001,22.759471,58.517959,2024-07-22T20:00:00
sensor_hv_001,21.493682,65.984563,2024-08-04T07:00:00
sensor_hv_001,20.898789,43.523422,2024-10-18T07:00:00
sensor_hv_001,22.35376,30.287634,2024-12-21T01:00:00
sensor_hv_001,20.915767,66.216801,2024-06-03T16:00:00
sensor_hv_001,20.952019,56.759111,2024-04-18T04:00:00
sensor_hv_001,22.89341,65.295323,2024-10-16T07:00:00
sensor_hv_001,23.138478,62.29988,2024-04-04T03:00:00
sensor_hv_001,22.635931,44.171903,2024-07-15T23:00:00
sensor_hv_001,20.216685,56.13822,2024-11-04T01:00:00
sensor_hv_001,21.610485,43.572104,2024-02-08T06:00:00
sensor_hv_001,20.760836,47.944542,2024-07-06T08:00:00
sensor_hv_001,21.850512,64.979438,2024-02-15T17:00:00
sensor_hv_001,20.391635,56.085796,2024-09-27T00:00:00
sensor_hv_001,23.875985,67.054679,2024-04-06T13:00:00
sensor_hv_001,21.942565,38.549892,2024-07-02T05:00:00
sensor_hv_001,21.515892,69.412354,2024-05-26T14:00:00
sensor_hv_001,21.140997,57.86366,2024-12-26T17:00:00
sensor_hv_001,22.647485,49.466856,2024-04-10T06:00:00
sensor_hv_001,23.874837,53.167212,2024-09-02T23:00:00
sensor_hv_001,21.254419,32.005693,2024-08-17T16:00:00
sensor_hv_001,20.629731,68.431156,2024-02-28T05:00:00
sensor_hv_001,20.274085,32.718435,2024-04-13T03:00:00
sensor_hv_001,23.766385,52.787016,2024-10-20T01:00:00
sensor_hv_001,22.477526,46.768997,2024-10-19T16:00:00
sensor_hv_001,21.265479,40.430628,2024-11-23T10:00:00
sensor_hv_001,20.954744,45.831434,2024-11-21T09:00:00
sensor_hv_001,21.828898,67.160733,2024-02-01T14:00:00
